base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
CB,14A,158,open,4/24/2017,Apr-17,17:06,17,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,11,1,1,0,2000
CB,14A,158,open,4/24/2017,Apr-17,17:07,17,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,11,1,1,0,2000
CB,14A,158,open,4/24/2017,Apr-17,17:07,17,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,11,1,1,0,2000
CB,14A,158,Open,4/28/2017,Apr-17,20:39,20,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,12,1,1,1,9500
CB,14A,158,Open,4/28/2017,Apr-17,20:39,20,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,12,1,1,0,9500
CB,14A,158,Open,4/28/2017,Apr-17,20:39,20,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,12,1,1,0,9500
CB,14A,158,Open,4/28/2017,Apr-17,20:39,20,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,12,1,1,0,9500
CB,14A,158,Open,4/28/2017,Apr-17,20:39,20,Cuniculus paca,spotted paca,large rodent,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,12,1,1,0,9500
CB,14A,158,open,6/5/2017,Apr-17,7:15,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,13,1,1,1,70
CB,14A,158,open,6/5/2017,Apr-17,7:15,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,13,1,1,0,70
CB,14A,158,open,8/5/2017,Apr-17,6:47,6,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,14,1,1,1,70
CB,14A,158,open,9/5/2017,Apr-17,19:32,19,Tapirus terrestris,tapir,ungulate,herbivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,15,1,1,1,150000
